size_class,social_group,state_name,state_code,district_name,district_code,holding_no,holding_ar,holding_whly_irri_no,holding_whly_irri_ar,holding_whly_rain_no,holding_whly_rain_ar,holding_prtly_irri_no,holding_prtly_irri_tot-ar,holding_prtly_irri_irri-ar,holding_recve_irri_no,holding_recve_irri_irri-ar
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,BISHNUPUR,275.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,CHANDEL,280.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,CHURACHANDPUR,274.0,5,35,0,0,5,35,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,IMPHAL EAST,278.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,IMPHAL WEST,277.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,SENAPATI,272.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,TAMENGLONG,273.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,THOUBAL,276.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MANIPUR,14.0,UKHRUL,279.0,20,140,0,0,20,140,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,BISHNUPUR,275.0,1005,1290,0,0,919,1171,86,118,45,86,45
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,CHANDEL,280.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,CHURACHANDPUR,274.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,IMPHAL EAST,278.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,IMPHAL WEST,277.0,1535,2380,107,95,1428,2267,0,0,0,107,95
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,SENAPATI,272.0,0,0,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,MANIPUR,14.0,TAMENGLONG,273.0,0,0,0,0,0,0,0,0,0,0,0
